
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
     70      |      5      |     UNF     |    7034     |    17.74    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     71      |      5      |     UNF     |    7078     |    17.85    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     72      |      5      |     UNF     |    7122     |    17.97    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     73      |      5      |     UNF     |    7166     |    18.08    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     74      |      5      |     UNF     |    7210     |    18.19    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     75      |      5      |     UNF     |    7254     |    18.31    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     76      |      5      |     UNF     |    7298     |    18.42    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     77      |      5      |     UNF     |    7342     |    18.54    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     78      |      5      |     UNF     |    7386     |    18.65    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     79      |      5      |     UNF     |    7430     |    18.76    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     80      |      5      |     UNF     |    7474     |    18.88    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     81      |      5      |     UNF     |    7518     |    18.99    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     82      |      5      |     UNF     |    7562     |    19.11    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
     83      |      5      |     UNF     |    7606     |    19.22    | 7.5545e-01  | 1.0181e-06  |  9.31e-10   |    0.00     
